iter	Passed	Remaining
704	1732	724
705	1733	721
706	1736	719
707	1738	717
708	1741	714
709	1742	711
710	1744	709
711	1745	706
712	1747	703
713	1748	700
714	1752	698
715	1753	695
716	1756	693
717	1757	690
718	1758	687
719	1760	684
720	1761	681
721	1762	678
722	1767	677
723	1770	674
724	1772	672
725	1773	669
726	1776	666
727	1777	664
728	1778	661
729	1780	658
730	1781	655
731	1783	652
732	1784	650
733	1785	647
734	1787	644
735	1788	641
736	1789	638
737	1793	636
738	1795	634
739	1796	631
740	1797	628
741	1799	625
742	1800	622
743	1801	619
744	1803	617
745	1804	614
746	1808	612
747	1810	609
748	1812	607
749	1813	604
750	1815	601
751	1816	599
752	1817	596
753	1819	593
754	1822	591
755	1823	588
756	1827	586
757	1828	583
758	1829	580
759	1830	578
760	1832	575
761	1836	573
762	1837	570
763	1839	568
764	1840	565
765	1842	562
766	1843	560
767	1844	557
768	1846	554
769	1849	552
770	1851	550
771	1853	547
772	1855	544
773	1857	542
774	1858	539
775	1860	536
776	1861	534
777	1864	531
778	1866	529
779	1868	526
780	1869	524
781	1870	521
782	1872	518
783	1873	516
784	1874	513
785	1876	510
786	1880	508
787	1881	506
788	1883	503
789	1884	500
790	1885	498
791	1887	495
792	1888	492
793	1890	490
794	1893	488
795	1895	485
796	1896	483
797	1898	480
798	1899	477
799	1900	475
800	1902	472
801	1903	469
802	1904	467
803	1907	464
804	1909	462
805	1911	460
806	1913	457
807	1915	455
808	1916	452
809	1918	449
810	1919	447
811	1922	445
812	1924	442
813	1926	440
814	1927	437
815	1928	434
816	1930	432
817	1931	429
818	1933	427
819	1934	424
820	1939	422
821	1940	420
822	1942	417
823	1944	415
824	1946	412
825	1947	410
826	1949	407
827	1953	405
828	1955	403
829	1957	400
830	1958	398
831	1960	395
832	1961	393
833	1963	390
834	1964	388
835	1967	385
836	1968	383
837	1970	380
838	1971	378
839	1973	375
840	1975	373
841	1976	370
842	1978	368
843	1981	366
844	1982	363
845	1984	361
846	1985	358
847	1986	356
848	1988	353
849	1989	351
850	1990	348
851	1992	346
852	1995	343
853	1996	341
854	1998	338
855	1999	336
